Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: CIFAR
  Distribution: non-IID
  Number of Clients: 3
  Rounds: 25
  Local Epochs: 5
Files already downloaded and verified
Files already downloaded and verified

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 3, Epoch 4/5, Loss: 0.4464
Client 3, Epoch 5/5, Loss: 3.6463
Client 3 Accuracy (Round 13): 0.9890
Global Model, Round 13, Loss: 1.9688, Accuracy: 0.32

--- FedAvg: Round 14 ---
Client 1, Epoch 1/5, Loss: 0.4335
Client 1, Epoch 2/5, Loss: 0.5335
Client 1, Epoch 3/5, Loss: 0.3400
Client 1, Epoch 4/5, Loss: 0.1225
Client 1, Epoch 5/5, Loss: 1.0669
Client 1 Accuracy (Round 14): 0.7857
Client 2, Epoch 1/5, Loss: 7.5890
Client 2, Epoch 2/5, Loss: 3.2678
Client 2, Epoch 3/5, Loss: 3.7616
Client 2, Epoch 4/5, Loss: 5.2368
Client 2, Epoch 5/5, Loss: 1.0916
Client 2 Accuracy (Round 14): 1.0000
Client 3, Epoch 1/5, Loss: 1.2473
Client 3, Epoch 2/5, Loss: 6.5594
Client 3, Epoch 3/5, Loss: 9.0722
Client 3, Epoch 4/5, Loss: 3.0854
Client 3, Epoch 5/5, Loss: 0.9740
Client 3 Accuracy (Round 14): 1.0000
Global Model, Round 14, Loss: 1.9397, Accuracy: 0.32

--- FedAvg: Round 15 ---
Client 1, Epoch 1/5, Loss: 9.6494
Client 1, Epoch 2/5, Loss: 10.1344
Client 1, Epoch 3/5, Loss: 2.2901
Client 1, Epoch 4/5, Loss: 1.4703
Client 1, Epoch 5/5, Loss: 3.4146
Client 1 Accuracy (Round 15): 0.9620
Client 2, Epoch 1/5, Loss: 0.6463
Client 2, Epoch 2/5, Loss: 1.3889
Client 2, Epoch 3/5, Loss: 4.2908
Client 2, Epoch 4/5, Loss: 1.1073
Client 2, Epoch 5/5, Loss: 0.7088
Client 2 Accuracy (Round 15): 1.0000
Client 3, Epoch 1/5, Loss: 0.7595
Client 3, Epoch 2/5, Loss: 4.3305
Client 3, Epoch 3/5, Loss: 3.0310
Client 3, Epoch 4/5, Loss: 0.8520
Client 3, Epoch 5/5, Loss: 0.5743
Client 3 Accuracy (Round 15): 0.9998
Global Model, Round 15, Loss: 1.9335, Accuracy: 0.33

--- FedAvg: Round 16 ---
Client 1, Epoch 1/5, Loss: 1.4681
Client 1, Epoch 2/5, Loss: 0.9164
Client 1, Epoch 3/5, Loss: 1.6685
Client 1, Epoch 4/5, Loss: 3.1636
Client 1, Epoch 5/5, Loss: 0.7049
Client 1 Accuracy (Round 16): 1.0000
Client 2, Epoch 1/5, Loss: 1.4461
Client 2, Epoch 2/5, Loss: 1.3589
Client 2, Epoch 3/5, Loss: 0.6164
Client 2, Epoch 4/5, Loss: 0.4342
Client 2, Epoch 5/5, Loss: 3.2881
Client 2 Accuracy (Round 16): 0.9808
Client 3, Epoch 1/5, Loss: 4.0291
Client 3, Epoch 2/5, Loss: 1.1915
Client 3, Epoch 3/5, Loss: 0.3406
